IDCARNET_ACTIVITE;IDPERSONNEL;IDOFFRES;SEMAINE;DATE_CONTRAT;TEMPS_EXTER;TEMPS_BUREAU;KILOMETRAGES;REFERENCE;MONTANT;TRANSPORT;KMTRANSPORT;NBRETRANSPORT;JUSTIFTRANS;MTTRANSPORT;PERDIEM;NBREPERDIEM;DERNIERJOUR;JUSTIFPERDIEM;FRAISDIVERS;JUSTIFDIVERS;MTFRAISDIVERS;AVANCES;MT_LOCATION;NBREPAS;NBRENUITE;JUSTIFREPAS;JUSTIFNUITE;JUSTIFDEMARCHES;VISAING;VISARES
4146;28;482;37;16/09/2011;;;;;0,000000;Voiture;42;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;Mour SAMB pour offre Sainte Jeanne d'arc et recouvrement;1;0
4147;28;2687;38;20/09/2011;;;;;0,000000;Voiture;38;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4148;28;173;38;20/09/2011;;;;;0,000000;Voiture;38;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;1;0
4149;28;106;38;20/09/2011;;;;;0,000000;Voiture;38;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4150;28;482;38;22/09/2011;;;;;0,000000;Voiture;47;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;SENEGINDIA;1;0
4151;28;2496;39;27/09/2011;;;;;0,000000;;0;0;;0,000000;PerdiŠme Afrique /Jour;2;1;;Frais de transport ;Transport + pot entretien;25 000,000000;0,000000;0,000000;0;0;;;;1;0
4152;28;481;39;26/09/2011;;;;;0,000000;Voiture;37;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;R‚union Agetip sinistres Stades;1;0
4153;28;2687;39;29/09/2011;;;;;0,000000;Voiture;38;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4154;28;481;39;29/09/2011;;;;;0,000000;Voiture;40;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;R‚union chantier M. DIAKHATE;1;0
4155;28;173;39;29/09/2011;;;;;0,000000;Voiture;38;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4156;28;106;39;29/09/2011;;;;;0,000000;Voiture;38;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4157;28;481;39;29/09/2011;;;;;0,000000;Voiture;35;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;R‚union SCI Alif suite … un sinitre;1;0
4158;36;1185;40;07/10/2011;;;;;0,000000;Voiture;300;0;R‚ception ferraillage longrines au CRETF de Diourb;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;Hors de Dakar;;;1;0
4159;36;2654;40;07/10/2011;;;;;0,000000;Forfaits d‚placements;0;1;R‚ception ferraillage poutres niveau gradins;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;1;0
4160;51;2675;31;02/08/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;Frais de transport ;;3 000,000000;0,000000;0,000000;1;0;;;;1;0
4161;51;961;31;05/08/2011;;;;;0,000000;;0;0;;0,000000;;0;0;;Frais de transport ;;5 000,000000;0,000000;0,000000;0;0;;;;1;0
